 Glomalin+GOE pH6.5,,,, Glomalin-mut+GOE pH6.5,,,,Hsp60+GOE pH6.5,,,,Hsp60-mut+GOE pH6.5,,,,,, Glomalin+MnO2 pH6.5,,,, Glomalin-mut+MnO2 pH6.5,,,,Hsp60+MnO2 pH6.5,,,,Hsp60-mut+MnO2 pH6.5,,,,, Glomalin+MMT pH6.5,,,, Glomalin-mut+MMT pH6.5,,,,Hsp60+MMT pH6.5,,,,Hsp60-mut+MMT pH6.5,,
,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy
29,0.9775,110.54,,29,1.052,39.47,,29,0.6289,81.15,,29,0.4484,33.24 ,,,,29,0.952,39.58,,29,0.6953,39.67,,29,0.3878,21.3,,29,0.7008,58.35,,,29,0.7185,87.28,,29,0.4484,36.21 ,,29,0.4155,39.4,,29,0.4484,33.24 
30,1.155,131.54,,30,0.9593,108.38,,30,0.635,88.73,,30,0.4707,27.72 ,,,,30,1.082,20.88,,30,0.8225,75.43,,30,0.3749,19.14,,30,0.8918,51.65,,,30,0.5957,53.28,,30,0.2532,13.32 ,,30,0.2183,5.37,,30,0.4707,27.72 
31,1.032,115.24,,31,0.8542,113.98,,31,0.682,73.96,,31,0.8918,51.65 ,,,,31,1.049,121.18,,31,0.7585,44.33,,31,0.4326,23.87,,31,0.8314,83.24,,,31,0.4462,70.77,,31,0.2443,10.23 ,,31,0.8753,51.65,,31,0.8918,51.65 
32,0.8871,79.59,,32,1.019,135.02,,32,0.4423,47.39,,32,0.4009,38.33 ,,,,32,0.6814,44.7,,32,0.5227,21.12,,32,0.5171,27.4,,32,0.6949,72.76,,,32,0.4707,36.66,,32,0.267,10.91 ,,32,0.6593,36.05,,32,0.4009,38.33 
33,0.7744,67.94,,33,1.144,93.88,,33,0.5516,26.53,,33,0.4485,30.08 ,,,,33,0.6277,152.6,,,,,,33,0.4908,23.91,,33,0.635,91.38,,,33,0.3761,12.58,,33,0.1469,6.90 ,,33,0.7062,45.05,,33,0.4485,30.08 
34,1.104,178.43,,34,0.897,104.04,,34,0.8331,107.1,,34,0.3619,35.07 ,,,,34,0.8063,49.68,,,,,,34,0.5576,25.78,,34,1.06,164.65,,,34,0.6142,14.23,,34,1.4668,152.95,,34,0.3265,13.01,,34,0.3619,35.07 
,,,,,,,,35,0.8984,132.08,,35,0.4484,33.24,,,,35,1.189,85.97,,,,,,35,0.5975,55.28,,35,0.9514,76.02,,,,,,,35,1.337,165.19,,,,,,35,0.4484,33.24
,,,,,,,,36,0.6688,79.91,,36,0.3509,29.43,,,,,,,,,,,,36,0.5637,52.33,,36,1.08,131.24,,,,,,,,,,,,,,,36,0.3509,29.43
,,,,,,,,,,,,37,0.6394,27.97,,,,,,,,,,,,37,0.6949,62.76,,37,0.9593,115.6,,,,,,,,,,,,,,,37,0.6394,27.97
,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.5556,59.66,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.655,61.75,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,40,0.7234,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
