Wavenumbers (cm-1),Glomalin,HA,BSA,,,Wavenumbers (cm-1),GOE,GOE+Glomalin,GOE+HA,GOE+BSA,,,Wavenumbers (cm-1),MnO2,MnO2+Glomalin,MnO2+HA,MnO2+BSA,,,Wavenumbers (cm-1),MMT,MMT+Glomalin,MMT+HA,MMT+BSA
2044.47243,-0.00093,-0.00067,-0.00052,,,2044.47243,-0.00026,-0.00051,0.00387,0.00078,,,2044.47243,0.04771,0.00579,0.00079,0.01144,,,2044.47243,-0.00211,-0.00189,-0.00174,-0.0018
2042.54369,-0.0008,-0.00061,-0.00057,,,2042.54369,-0.00012,-0.0004,0.00386,0.00065,,,2042.54369,0.04726,0.00592,0.0008,0.01142,,,2042.54369,-0.00194,-0.00185,-0.00151,-0.00177
2040.61494,-0.00081,-0.00057,-0.00069,,,2040.61494,-0.00021,-0.00032,0.00383,0.00055,,,2040.61494,0.04673,0.00588,0.00083,0.01127,,,2040.61494,-0.00187,-0.00187,-0.00138,-0.00167
2038.68619,-0.00098,-0.00059,-0.0007,,,2038.68619,-0.00049,-0.00033,0.00377,0.00046,,,2038.68619,0.04623,0.00565,0.00083,0.01098,,,2038.68619,-0.00201,-0.00183,-0.00161,-0.0016
2036.75744,-0.00121,-0.00057,-0.00059,,,2036.75744,-0.00077,-0.00033,0.0037,0.00044,,,2036.75744,0.0459,0.00538,0.00075,0.01078,,,2036.75744,-0.00221,-0.00168,-0.00195,-0.00163
2034.8287,-0.00133,-0.00055,-0.00053,,,2034.8287,-0.001,-0.00032,0.00366,0.00046,,,2034.8287,0.04576,0.00526,0.00068,0.01083,,,2034.8287,-0.00224,-0.00162,-0.00207,-0.00178
2032.89995,-0.00129,-0.00066,-0.00057,,,2032.89995,-0.00107,-0.00034,0.00359,0.00043,,,2032.89995,0.04566,0.00535,0.00068,0.01095,,,2032.89995,-0.00204,-0.00162,-0.00201,-0.00205
2030.9712,-0.0011,-0.00076,-0.00065,,,2030.9712,-0.00077,-0.00045,0.00338,0.00038,,,2030.9712,0.0455,0.00553,0.00054,0.01098,,,2030.9712,-0.00185,-0.00155,-0.00194,-0.00219
2029.04245,-0.00092,-0.00071,-0.00066,,,2029.04245,-0.00031,-0.00059,0.00319,0.00037,,,2029.04245,0.04535,0.00561,0.00037,0.01092,,,2029.04245,-0.00186,-0.00158,-0.00183,-0.002
2027.11371,-0.00086,-0.00058,-0.0005,,,2027.11371,-0.0001,-0.00055,0.00326,0.00046,,,2027.11371,0.04528,0.00552,0.00047,0.0109,,,2027.11371,-0.00188,-0.00178,-0.0016,-0.00178
2025.18496,-0.00091,-0.00042,-0.00032,,,2025.18496,-0.00017,-0.00031,0.0035,0.00066,,,2025.18496,0.04531,0.00542,0.00067,0.01096,,,2025.18496,-0.0018,-0.00191,-0.00141,-0.00186
