,GOE,MnO2,MMT
2¦È/degree,Intensity,Intensity,Intensity
11.5538,2764,1714,2484
11.5736,2735,1764,2411
11.5933,2798,1629,2328
11.613,2949,1678,2447
11.6328,2817,1701,2437
11.6525,2851,1638,2373
11.6723,2907,1620,2435
11.692,2887,1625,2410
11.7117,2872,1701,2378
11.7315,2879,1664,2433
11.7512,2839,1605,2525
11.771,2860,1664,2365
11.7907,2844,1618,2392
11.8104,2800,1679,2372
11.8302,2930,1600,2368
11.8499,2772,1587,2496
11.8697,2796,1632,2555
11.8894,2835,1603,2450
11.9091,2711,1623,2400
11.9289,2741,1633,2479
11.9486,2832,1623,2408
11.9684,2817,1635,2447
11.9881,2756,1548,2539
12.0078,2813,1650,2457
12.0276,2836,1674,2483
12.0473,2938,1589,2498
12.0671,2835,1561,2514
12.0868,2857,1605,2497
12.1065,2761,1599,2578
12.1263,2816,1584,2540
12.146,2898,1598,2504
12.1658,2788,1606,2550
12.1855,2885,1516,2550
12.2052,2807,1512,2551
12.225,2849,1616,2504
12.2447,2819,1573,2644
12.2645,2768,1541,2532
12.2842,2886,1606,2462
12.3039,2836,1640,2508
12.3237,2810,1541,2485
12.3434,2885,1532,2553
12.3632,2757,1524,2496
12.3829,2854,1568,2575
12.4027,2821,1528,2536
12.4224,2767,1592,2544
12.4421,2814,1579,2507
12.4619,2878,1507,2537
12.4816,2851,1604,2517
12.5014,2848,1580,2447
12.5211,2777,1531,2497
12.5408,2894,1574,2499
12.5606,2825,1673,2520
12.5803,2814,1564,2441
12.6001,2866,1563,2483
12.6198,2796,1605,2501
12.6395,2831,1496,2406
12.6593,2933,1469,2469
12.679,2869,1561,2410
12.6988,2816,1475,2460
12.7185,2838,1547,2370
12.7382,2802,1530,2390
12.758,2812,1525,2377
12.7777,2899,1520,2389
12.7975,2886,1472,2340
12.8172,2853,1539,2331
12.8369,2857,1506,2302
12.8567,2808,1527,2338
12.8764,2819,1457,2352
12.8962,2819,1429,2367
12.9159,2811,1516,2355
12.9356,2847,1547,2220
12.9554,2748,1503,2380
12.9751,2828,1434,2404
12.9949,2840,1422,2251
13.0146,2832,1421,2319
13.0343,2860,1443,2337
13.0541,2819,1484,2288
13.0738,2813,1461,2350
13.0936,2738,1502,2349
13.1133,2807,1400,2289
13.133,2815,1443,2311
13.1528,2852,1458,2283
13.1725,2756,1440,2324
13.1923,2799,1427,2255
13.212,2825,1478,2318
13.2317,2854,1467,2375
13.2515,2838,1454,2309
13.2712,2863,1424,2277
13.291,2854,1568,2176
13.3107,2786,1401,2333
13.3304,2749,1420,2363
13.3502,2874,1462,2223
13.3699,2893,1424,2238
13.3897,2739,1427,2223
13.4094,2829,1423,2301
13.4292,2821,1428,2286
13.4489,2725,1467,2283
13.4686,2692,1408,2176
13.4884,2861,1464,2318
13.5081,2810,1425,2273
13.5279,2774,1374,2324
13.5476,2788,1379,2436
13.5673,2812,1401,2310
13.5871,2821,1397,2404
13.6068,2803,1371,2404
13.6266,2785,1381,2379
13.6463,2787,1305,2302
13.666,2796,1410,2236
13.6858,2773,1480,2321
13.7055,2762,1368,2249
13.7253,2784,1402,2256
13.745,2833,1414,2349
13.7647,2845,1385,2352
13.7845,2776,1313,2378
13.8042,2743,1401,2308
13.824,2766,1359,2326
13.8437,2784,1377,2266
13.8634,2851,1304,2319
13.8832,2805,1351,2252
13.9029,2790,1420,2262
13.9227,2816,1298,2168
13.9424,2707,1316,2270
13.9621,2808,1299,2318
13.9819,2830,1409,2271
14.0016,2747,1327,2190
14.0214,2850,1427,2280
14.0411,2767,1361,2265
14.0608,2735,1352,2281
14.0806,2736,1300,2198
14.1003,2759,1381,2372
14.1201,2843,1355,2238
14.1398,2759,1388,2226
14.1595,2638,1333,2242
14.1793,2767,1328,2204
14.199,2799,1313,2143
14.2188,2744,1357,2133
14.2385,2784,1378,2160
14.2582,2727,1342,2278
14.278,2779,1310,2257
14.2977,2778,1354,2213
14.3175,2789,1296,2210
14.3372,2727,1369,2274
14.3569,2759,1294,2229
14.3767,2663,1386,2214
14.3964,2707,1391,2159
14.4162,2731,1263,2122
14.4359,2719,1295,2126
14.4557,2840,1335,2125
14.4754,2786,1276,2159
14.4951,2792,1314,2157
14.5149,2745,1286,2311
14.5346,2723,1372,2175
14.5544,2729,1289,2195
14.5741,2715,1303,2143
14.5938,2827,1299,2118
14.6136,2750,1287,2176
14.6333,2755,1250,2177
14.6531,2784,1302,2210
14.6728,2820,1265,2156
14.6925,2768,1301,2147
14.7123,2771,1314,2108
14.732,2728,1285,2126
14.7518,2713,1247,2100
14.7715,2720,1276,2134
14.7912,2805,1349,2142
14.811,2707,1232,2254
14.8307,2681,1204,2134
14.8505,2628,1269,2188
14.8702,2607,1318,2157
14.8899,2782,1286,2226
14.9097,2764,1263,2187
14.9294,2713,1317,2208
14.9492,2698,1244,2192
14.9689,2753,1269,2261
14.9886,2711,1245,2208
15.0084,2761,1293,2207
15.0281,2790,1311,2192
15.0479,2684,1221,2261
15.0676,2734,1327,2183
15.0873,2842,1280,2195
15.1071,2712,1258,2203
15.1268,2754,1271,2198
15.1466,2740,1259,2207
15.1663,2635,1208,2171
15.186,2743,1214,2250
15.2058,2775,1160,2165
15.2255,2740,1277,2151
15.2453,2689,1207,2169
15.265,2714,1165,2191
15.2847,2752,1236,2091
15.3045,2799,1239,2215
15.3242,2657,1186,2244
15.344,2788,1285,2192
15.3637,2626,1245,2086
15.3835,2799,1261,2203
15.4032,2669,1221,2094
15.4229,2727,1190,2334
15.4427,2772,1204,2225
15.4624,2753,1178,2144
15.4822,2798,1237,2165
15.5019,2743,1189,2194
15.5216,2639,1192,2179
15.5414,2647,1175,2153
15.5611,2757,1236,2163
15.5809,2746,1178,2255
15.6006,2707,1140,2213
15.6203,2661,1244,2182
15.6401,2705,1264,2130
15.6598,2731,1285,2201
15.6796,2756,1135,2149
15.6993,2733,1289,2135
15.719,2802,1185,2177
15.7388,2705,1223,2221
15.7585,2680,1194,2158
15.7783,2654,1221,2235
15.798,2699,1160,2209
15.8177,2665,1168,2337
15.8375,2724,1171,2286
15.8572,2725,1169,2238
15.877,2647,1222,2249
15.8967,2683,1144,2210
15.9164,2707,1189,2188
15.9362,2752,1199,2264
15.9559,2725,1200,2208
15.9757,2670,1166,2276
15.9954,2725,1115,2253
16.0151,2682,1146,2276
16.0349,2742,1207,2266
16.0546,2605,1167,2278
16.0744,2697,1260,2160
16.0941,2730,1173,2172
16.1138,2769,1194,2274
16.1336,2653,1149,2215
16.1533,2717,1155,2234
16.1731,2704,1110,2237
16.1928,2700,1129,2283
16.2125,2791,1181,2261
16.2323,2794,1117,2199
16.252,2658,1215,2260
16.2718,2736,1141,2260
16.2915,2692,1162,2221
16.3112,2729,1197,2249
16.331,2706,1167,2187
16.3507,2742,1128,2229
16.3705,2691,1126,2210
16.3902,2712,1122,2241
16.41,2673,1214,2264
16.4297,2737,1180,2264
16.4494,2732,1184,2255
16.4692,2751,1107,2219
16.4889,2676,1060,2218
16.5087,2772,1115,2258
16.5284,2686,1133,2228
16.5481,2714,1137,2212
16.5679,2755,1149,2262
16.5876,2669,1083,2168
16.6074,2666,1186,2279
16.6271,2761,1160,2255
16.6468,2719,1102,2319
16.6666,2652,1148,2212
16.6863,2717,1195,2259
16.7061,2715,1102,2324
16.7258,2673,1083,2273
16.7455,2714,1095,2278
16.7653,2764,1109,2224
16.785,2742,1083,2221
16.8048,2724,1142,2340
16.8245,2805,1138,2288
16.8442,2761,1163,2221
16.864,2794,1135,2370
16.8837,2654,1185,2355
16.9035,2684,1137,2323
16.9232,2662,1122,2356
16.9429,2705,1158,2367
16.9627,2706,1120,2274
16.9824,2736,1144,2299
17.0022,2849,1134,2402
17.0219,2747,1091,2358
17.0416,2641,1174,2402
17.0614,2608,1127,2356
17.0811,2678,1151,2283
17.1009,2752,1115,2373
17.1206,2720,1140,2415
17.1403,2800,1161,2310
17.1601,2729,1143,2409
17.1798,2742,1157,2421
17.1996,2797,1140,2349
17.2193,2743,1140,2405
17.239,2761,1121,2374
17.2588,2848,1117,2343
17.2785,2738,1180,2339
17.2983,2772,1164,2444
17.318,2679,1126,2307
17.3378,2855,1148,2463
17.3575,2744,1199,2463
17.3772,2755,1176,2435
17.397,2740,1147,2497
17.4167,2762,1150,2474
17.4365,2772,1104,2482
17.4562,2893,1102,2478
17.4759,2889,1137,2449
17.4957,2887,1120,2642
17.5154,2829,1133,2621
17.5352,2886,1130,2679
17.5549,2882,1081,2786
17.5746,2942,1177,3071
17.5944,3050,1184,3444
17.6141,3150,1182,3434
17.6339,3119,1216,3534
17.6536,3286,1202,3424
17.6733,3343,1168,3395
17.6931,3257,1162,3479
17.7128,3421,1168,3660
17.7326,3602,1208,3509
17.7523,3634,1155,3487
17.772,3881,1198,3285
17.7918,3884,1154,3259
17.8115,3871,1203,3177
17.8313,3939,1243,3116
17.851,3882,1192,3071
17.8707,3792,1131,3107
17.8905,3547,1159,2883
17.9102,3317,1161,2872
17.93,3207,1134,2831
17.9497,3031,1136,2717
17.9694,3020,1134,2709
17.9892,3078,1187,2544
18.0089,2982,1178,2493
18.0287,2914,1144,2667
18.0484,2874,1078,2591
18.0681,2853,1180,2470
18.0879,2872,1154,2536
18.1076,2885,1127,2583
18.1274,2792,1089,2506
18.1471,2792,1234,2428
18.1668,2852,1161,2532
18.1866,2808,1170,2508
18.2063,2934,1180,2412
18.2261,2715,1138,2458
18.2458,2781,1140,2473
18.2655,2731,1127,2530
18.2853,2834,1131,2526
18.305,2696,1121,2587
18.3248,2710,1150,2485
18.3445,2790,1080,2502
18.3643,2779,1054,2390
18.384,2795,1086,2480
18.4037,2712,1103,2491
18.4235,2785,1166,2579
18.4432,2779,1149,2639
18.463,2774,1114,2543
18.4827,2792,1123,2560
18.5024,2704,1091,2468
18.5222,2768,1082,2508
18.5419,2766,1049,2558
18.5617,2741,1164,2581
18.5814,2806,1216,2521
18.6011,2658,1155,2444
18.6209,2723,1152,2504
18.6406,2752,1107,2604
18.6604,2634,1071,2482
18.6801,2841,1139,2573
18.6998,2679,1095,2616
18.7196,2814,1073,2550
18.7393,2818,1088,2561
18.7591,2840,1101,2563
18.7788,2762,1079,2597
18.7985,2631,1096,2485
18.8183,2789,1127,2559
18.838,2662,1203,2540
18.8578,2789,1107,2585
18.8775,2768,1213,2682
18.8972,2781,1139,2716
18.917,2845,1172,2668
18.9367,2772,1146,2636
18.9565,2787,1146,2679
18.9762,2715,1143,2665
18.9959,2806,1135,2672
19.0157,2745,1081,2717
19.0354,2853,1174,2678
19.0552,2850,1080,2760
19.0749,2835,1135,2731
19.0946,2663,1094,2718
19.1144,2728,1087,2759
19.1341,2764,1123,2778
19.1539,2761,1136,2895
19.1736,2739,1089,2841
19.1933,2769,1084,2953
19.2131,2713,1077,2914
19.2328,2819,1106,2903
19.2526,2690,1120,3005
19.2723,2758,1181,3061
19.2921,2718,1117,3050
19.3118,2739,1106,3118
19.3315,2783,1126,3233
19.3513,2655,1097,3249
19.371,2830,1169,3309
19.3908,2740,1116,3370
19.4105,2686,1116,3535
19.4302,2715,1149,3563
19.45,2812,1119,3673
19.4697,2859,1141,3834
19.4895,2825,1190,3972
19.5092,2770,1176,4047
19.5289,2804,1200,4265
19.5487,2736,1162,4458
19.5684,2731,1198,4622
19.5882,2730,1136,5076
19.6079,2776,1167,5121
19.6276,2791,1206,5404
19.6474,2731,1202,5655
19.6671,2801,1146,5798
19.6869,2688,1229,6080
19.7066,2814,1217,6156
19.7263,2787,1218,6305
19.7461,2760,1157,6372
19.7658,2761,1116,6595
19.7856,2759,1166,6562
19.8053,2892,1181,6670
19.825,2870,1160,6592
19.8448,2866,1241,6271
19.8645,2757,1182,6372
19.8843,2782,1201,6140
19.904,2771,1249,6157
19.9237,2835,1145,6110
19.9435,2801,1241,5834
19.9632,2784,1257,5733
19.983,2811,1183,5617
20.0027,2924,1187,5473
20.0224,2805,1175,5422
20.0422,2816,1249,5376
20.0619,2783,1233,5274
20.0817,2883,1259,5160
20.1014,2869,1233,5117
20.1211,2892,1238,5012
20.1409,2964,1249,5037
20.1606,2750,1239,4874
20.1804,2892,1238,4690
20.2001,2936,1256,4775
20.2198,2922,1262,4794
20.2396,2993,1209,4584
20.2593,2905,1244,4576
20.2791,2984,1291,4711
20.2988,2891,1225,4666
